date,popularity,id,name,artist
2025-04-14,82,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-15,82,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-16,82,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-17,84,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-18,84,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-19,85,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-20,86,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-21,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-22,86,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-23,86,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-24,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-25,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-26,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-27,84,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-28,86,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-29,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-04-30,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-01,86,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-02,86,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-03,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-04,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-05,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-06,86,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-07,85,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-08,87,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-09,89,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-10,91,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-11,94,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-12,94,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-13,96,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-14,96,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-15,99,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-16,99,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-17,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-18,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-19,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-20,99,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-21,99,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-22,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-23,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-24,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-25,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-26,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-27,94,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-28,95,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-29,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-30,100,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-05-31,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-01,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-02,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-03,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-04,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-05,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-06,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-07,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-08,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-09,99,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-10,100,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-11,99,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-12,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-13,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-14,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-15,96,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-16,95,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-17,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-18,96,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-19,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-20,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-21,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-22,96,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-23,95,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-24,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-25,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-26,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-27,96,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-28,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-29,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-06-30,98,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-01,97,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-02,96,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-03,95,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-04,95,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-05,95,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-06,93,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-07,93,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-08,93,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-09,93,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-10,94,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-11,99,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
2025-07-12,86,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson
